generation,genome_id,fitness,distance,steps,early_stop,reward_sum,level,error
0,1,898,898,300,True,898.0,1-1,
0,2,311,311,56,False,311.0,1-1,
0,3,311,311,56,False,311.0,1-1,
0,4,312,312,53,False,312.0,1-1,
0,5,311,311,60,False,311.0,1-1,
0,6,311,311,56,False,311.0,1-1,
0,7,315,315,61,False,315.0,1-1,
0,8,311,311,60,False,311.0,1-1,
0,9,313,313,56,False,313.0,1-1,
0,10,312,312,53,False,312.0,1-1,
0,11,434,434,150,True,434.0,1-1,
0,12,312,312,53,False,312.0,1-1,
0,13,594,594,200,True,594.0,1-1,
0,14,594,594,200,True,594.0,1-1,
0,15,311,311,60,False,311.0,1-1,
0,16,692,692,137,False,692.0,1-1,
0,17,312,312,53,False,312.0,1-1,
0,18,434,434,150,True,434.0,1-1,
0,19,722,722,139,False,722.0,1-1,
0,20,311,311,60,False,311.0,1-1,
0,21,315,315,60,False,315.0,1-1,
0,22,1799,1799,319,False,1799.0,1-1,
0,23,311,311,60,False,311.0,1-1,
0,24,312,312,53,False,312.0,1-1,
0,25,305,305,60,False,305.0,1-1,
0,26,314,314,57,False,314.0,1-1,
0,27,312,312,56,False,312.0,1-1,
0,28,312,312,53,False,312.0,1-1,
0,29,434,434,150,True,434.0,1-1,
0,30,312,312,53,False,312.0,1-1,
0,31,722,722,300,True,722.0,1-1,
0,32,312,312,53,False,312.0,1-1,
0,33,594,594,200,True,594.0,1-1,
0,34,311,311,60,False,311.0,1-1,
0,35,312,312,53,False,312.0,1-1,
0,36,311,311,60,False,311.0,1-1,
0,37,315,315,61,False,315.0,1-1,
0,38,594,594,200,True,594.0,1-1,
0,39,312,312,53,False,312.0,1-1,
0,40,594,594,200,True,594.0,1-1,
0,41,312,312,53,False,312.0,1-1,
0,42,312,312,53,False,312.0,1-1,
0,43,694,694,126,False,694.0,1-1,
0,44,594,594,200,True,594.0,1-1,
0,45,434,434,150,True,434.0,1-1,
0,46,722,722,200,True,722.0,1-1,
0,47,315,315,61,False,315.0,1-1,
0,48,722,722,200,True,722.0,1-1,
0,49,594,594,200,True,594.0,1-1,
0,50,312,312,53,False,312.0,1-1,
0,51,311,311,56,False,311.0,1-1,
0,52,434,434,150,True,434.0,1-1,
0,53,311,311,60,False,311.0,1-1,
0,54,312,312,53,False,312.0,1-1,
0,55,312,312,53,False,312.0,1-1,
0,56,434,434,150,True,434.0,1-1,
0,57,312,312,53,False,312.0,1-1,
0,58,312,312,53,False,312.0,1-1,
0,59,312,312,53,False,312.0,1-1,
0,60,312,312,53,False,312.0,1-1,
0,61,311,311,56,False,311.0,1-1,
0,62,594,594,200,True,594.0,1-1,
0,63,312,312,53,False,312.0,1-1,
